brand,brandLabel,brandAlt_en,owner,ownerLabel,industries,isic_codes,country,countryLabel
http://www.wikidata.org/entity/Q812785,Bburago,Burago|Martoys,http://www.wikidata.org/entity/Q30894674,May Cheong Group,,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q837922,Mobil 1,Мобил1,http://www.wikidata.org/entity/Q109675359,ExxonMobil Fuels & Lubricants Company,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q849488,VAIO,Sony VAIO,http://www.wikidata.org/entity/Q17208811,VAIO,,,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q108165952,ChaPanda,chabaidao,http://www.wikidata.org/entity/Q124649856,Baicha Baidao,,,,
http://www.wikidata.org/entity/Q108167793,Yes Chain Pharmacy,Yes Chain|Yes Chain Taiwan|Yeschain,http://www.wikidata.org/entity/Q108169974,YES Health,,,http://www.wikidata.org/entity/Q865,Taiwan
http://www.wikidata.org/entity/Q108168889,Hechalou Tea,He Cha Lou|Hechalou,http://www.wikidata.org/entity/Q108168944,"Rabbit Rabbit Co., LTD.",,,http://www.wikidata.org/entity/Q865,Taiwan
http://www.wikidata.org/entity/Q108904765,Boost,Boost nutritional drinks,http://www.wikidata.org/entity/Q160746,Nestlé,,,http://www.wikidata.org/entity/Q39,Switzerland
http://www.wikidata.org/entity/Q109676002,Mobil,Mobilgas|Mobiloil,http://www.wikidata.org/entity/Q109675359,ExxonMobil Fuels & Lubricants Company,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q110237118,Sky Railway,Santa Fe's  Adventure  Train,http://www.wikidata.org/entity/Q7419564,Santa Fe Southern Railway,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q111450707,Sunrise,SUNRISE,http://www.wikidata.org/entity/Q854654,Bandai Namco Filmworks,,,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q111839841,SVB Private,Silicon Valley Private Bank|SVB Investment Services|SVB Investment Services Inc.|SVB Private Bank|SVB Private Banking & Wealth Management|SVB Wealth|SVB Wealth LLC|SVBIS|SVBW,http://www.wikidata.org/entity/Q117087449,Silicon Valley Bridge Bank,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q112191064,Revue,Revuenon,http://www.wikidata.org/entity/Q566399,ORWO,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q112191064,Revue,Revuenon,http://www.wikidata.org/entity/Q136132,Arcandor,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q112191064,Revue,Revuenon,http://www.wikidata.org/entity/Q268275,Quelle-Versandhaus,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q112614022,Beatrice,Beatrice Magazine,http://www.wikidata.org/entity/Q112614221,Dash Publishing,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q112656226,Buku Lelong,Gudang Buku Lelong,http://www.wikidata.org/entity/Q112628540,PTS Bookcafe Sdn. Bhd.,,,http://www.wikidata.org/entity/Q833,Malaysia
http://www.wikidata.org/entity/Q112663616,Oxio,Accès|Accès Télécom,http://www.wikidata.org/entity/Q7887664,Cogeco,,,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q112874951,Deepal,Shenlan,http://www.wikidata.org/entity/Q29366,Changan Automobile,,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q113127602,ChatBot,ChatBot.com,http://www.wikidata.org/entity/Q6658155,Text,,,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q113127602,ChatBot,ChatBot.com,http://www.wikidata.org/entity/Q6658155,Text,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q113185180,Modera,Modera by Mill Creek,http://www.wikidata.org/entity/Q113185027,Mill Creek Residential,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q114696613,EverVolt,Evervolt|Panasonic EverVolt,http://www.wikidata.org/entity/Q53247,Panasonic Holdings Corporation,,,http://www.wikidata.org/entity/Q17,Japan
